index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
palshou	PALtao	utg	Crusader Gauntlets	7	50	80	dyel	dyel						5	5000	2	ac		150	150	swing2		30	30	cast2		25	25	heal-kill		15	15	mana-kill		15	15	skilltab	9	2	2													res-pois		25	25					res-fire		25	25					res-ltng		25	25					res-cold		25	25													0
palxie	PALtao	urn	Corona	7	50	81	dyel	dyel						5	5000	2	ac%		120	120	skill	123	3	3	cast2		20	20	all-stats		15	15	res-mag		40	40	skill	122	3	3	skill	113	3	3	sock		2	2					swing2		15	15					cast2		15	15					move2		15	15					balance2		15	15													0
palyaodai	PALtao	utc	Troll Belt	7	50	79	dyel	dyel						5	5000	2	ac		150	150	res-all		20	20	str		20	20	dex		20	20	pal		1	1	balance		25	25													str		30	30					vit		30	30					dex		30	30					enr		30	30													0
assjia	ASStao	urs	Great Hauberk	7	50	85	dblu	dblu	invxrss					5	5000	2	ac%		200	200	aura	123	15	15	str		75	75	swing2		25	25	ass		2	2	allskills		1	1	move2		15	15	red-dmg%		25	25					skilltab	20	2	2					skilltab	18	2	2					skilltab	19	2	2					ass		2	2													0
assshou	ASStao	uhb	myrmidon greaves	7	50	67	dblu	dblu						5	5000	2	all-res		20	20	move2		50	50	dmg-cold	100	100	100	dmg-fire		100	100	str		30	30	skill	252	3	3	skill	263	3	3									swing2		15	15					cast2		15	15					balance2		15	15					move2		15	15													0
assyaodai	ASStao	uvc	Vampirefang Belt	7	50	75	dblu	dblu						5	5000	2	ac%		130	130	move2		20	20	ass		1	1	mana		60	60	hp		100	100	res-mag		25	25	skill	270	3	3									res-fire-max		10	10					res-ltng-max		10	10					res-cold-max		10	10					res-pois-max		10	10													0
assxianglian	ASStao	amu	Amulet	1	50	55	dblu	dblu						5	5000	2	att%				allskills		1	1	ass		1	1	swing2		10	10	manasteal		8	8	skill	273	3	3													skill	276	3	3					skill	270	3	3					skill	251	3	3					skill	277	3	3													0
asszhua	ASStao	7tw	Runic Talons	7	50	78	dblu	dblu	invskru					5	5000	2	att%/lvl	3			dmg/lvl	15			swing2		25	25	sock		3	3	ass		3	3	dmg-mag		450	500	crush		25	25	res-all		35	35					extra-fire		35	35					extra-ltng		35	35					pierce-fire		35	35					pierce-ltng		35	35													0
amabiaoqiang	AMAtao	amf	MatriarchalJavelin	7	50	80	dpur	dpur						5	5000	2	swing2		40	40	extra-ltng		35	35	extra-pois		35	35	allskills		2	2	skilltab	2	2	2	stack		180	180	ease		-45	-45	rep-quant	50							pierce-ltng		35	35					pierce-pois		35	35					dmg%		250	250					swing2		20	20													0
amajia	AMAtao	utp	Archon Plate	7	50	82	dpur	dpur	invfulu					5	5000	2	ac%		180	180	dex/lvl	10			aura	115	15	15	res-all		40	40	hit-skill	53	10	25	hit-skill	92	10	25	sock		2	3									skill	35	3	3					skill	25	3	3					skill	24	3	3					skilltab	2	2	2													0
amaring	AMAtao	rin	ring	1	50	72	dpur	dpur						5	5000	2	ama		1	1	allskills		1	1	mana-kill		15	15	heal-kill		15	15	res-mag		25	25																	res-ltng-max		10	10					res-fire-max		10	10					res-cold-max		10	10					res-pois-max		10	10													0
amaxie	AMAtao	umb	Boneweave Boots	7	50	75	dpur	dpur						5	5000	2	move2		45	45	balance2		20	20	vit		40	40	red-mag		20	20	res-all		15	15	red-dmg		20	20													move2		25	25					balance2		25	25					block		25	25					block2		25	25													0
amayaodai	AMAtao	umc	Mithril Coil	7	50	75	dpur	dpur						5	5000	2	pierce		100	100	skill	35	3	3	skill	25	3	3	skill	24	3	3	swing2		15	15	manasteal		8	8	lifesteal		8	8									extra-ltng		15	15					extra-pois		15	15					pierce-ltng		15	15					pierce-pois		15	15													0
sordun	SORtao	uml	Luna	7	50	73	oran	oran	invbbb					5	5000	2	ac		300	300	sor		2	2	allskills		1	1	cast2		30	30	block		25	25	res-all		25	25													res-all		10	10					res-all		10	10					res-all		10	10					res-all		10	10													0
sorwuqi	SORtao	obf	Dimensional Shard	7	50	80	oran	oran						5	5000	2	sock		3	3	mag%		100	100	all-stats		20	20	cast2		30	30	sor		3	3	hp%		25	25													pierce-ltng		15	15					pierce-fire		15	15					extra-cold		15	15					sor		2	2													0
sorxie	SORtao	ulb	Wyrmhide Boots	7	50	76	oran	oran						5	5000	2	ac		100	100	res-mag		35	35	move2		25	25	mana-kill		15	15	skill	40	3	3	skill	54	3	3	skill	37	3	3									res-ltng-max		10	10					res-pois-max		10	10					res-fire-max		10	10					res-cold-max		10	10													0
sorshou	SORtao	uvg	Vampirebone Gloves	7	50	77	oran	oran						5	5000	2	ac		150	150	cast2		25	25	mana%		30	30	sor		1	1	mana-kill		15	15	heal-kill		15	15													skilltab	5	2	2					skilltab	3	2	2					skilltab	4	2	2					hp		150	150													0
sorjia	SORtao	ult	Hellforged Plate	7	50	85	oran	oran						5	5000	2	ac		500	500	balance2		30	30	cast2		30	30	res-all		40	40	sor		2	2	aura	120	15	15	res-dmg		20	20	ease		-40	-40					balance2		25	25					move2		25	25					block		25	25					block2		25	25													0
drujia	DRUtao	ung	Diamond Mail	7	50	83	blac	blac						5	5000	2	ac%		200	200	aura	104	15	15	cast2		35	35	res-all		30	30	move2		30	30	dru		2	2	red-dmg		25	25	red-mag		25	25	ease		-50	-50	skilltab	17	2	2					skilltab	16	2	2					skilltab	15	2	2					dru		2	2													0
drutou	DRUtao	dre	Sky Spirit	7	50	77	blac	blac						5	5000	2	ac%		100	100	dru		2	2	extra-fire		35	35	extra-pois		35	35	oskill	91	5	5	oskill	66	5	5	extra-cold		35	35	res-dmg		30	30	sock		3	3	pierce-fire		35	35					pierce-pois		35	35					pierce-cold		35	35					dru		2	2													0
drushou	DRUtao	ulg	Bramble Mitts	7	50	77	blac	blac						5	5000	2	ac%		120	120	dru		2	2	swing2		20	20	cast2		20	20	manasteal		5	5	dmg-to-mana		50	50													res-ltng-max		10	10					res-pois-max		10	10					res-fire-max		10	10					res-cold-max		10	10													0
druyaodai	DRUtao	ulc	Spiderweb Sash	7	50	75	blac	blac						5	5000	2	ac%		100	100	mana-kill		10	10	heal-kill		10	10	balance2		30	30	all-stats		15	15	res-mag		40	40													res-fire		35	35					res-cold		35	35					res-pois		35	35					res-ltng		35	35													0
druring	DRUtao	rin	ring	1	50	67	blac	blac						5	5000	2	swing2		10	10	cast2		10	10	dru		2	2	lifesteal		8	8	hp%		25	25	nofreeze		1	1													skill	245	3	3					skill	238	3	3					skill	239	3	3					skill	250	3	3													0
necdun	NECtao	nef	Bloodlord Skull	7	50	75	dgrn	dgrn	invsbk					5	5000	2	nec		2	2	skill	84	3	3	cast2		35	35	mana-kill		20	20	extra-pois		35	35	res-all		30	30	sock		2	2	mana%		30	30					pierce-pois		35	35					skill	66	3	3					skill	87	3	3					skill	91	3	3													0
necjia	NECtao	uhn	Boneweave	7	50	84	dgrn	dgrn						5	5000	2	nec		2	2	aura	113	15	15	cast2		25	25	balance2		25	25	ac%		200	200	hp%		30	30	mana		150	150	ease		-60	-60					skilltab	6	2	2					skilltab	7	2	2					skilltab	8	2	2					nec		2	2													0
nectou	NECtao	uh9	Bone Visage	7	50	74	dgrn	dgrn						5	5000	2	nec		3	3	cast2		20	20	all-stats		15	15	ac		200	200	move2		20	20	heal-kill		20	20	res-all		20	20									res-fire-max		10	10					res-ltng-max		10	10					res-pois-max		10	10					res-cold-max		10	10													0
necxie	NECtao	uvb	Scarabshell Boots	7	50	69	dgrn	dgrn						5	5000	2	ac		150	150	move2		35	35	balance2		35	35	res-mag		75	75	skill	74	3	3	skill	84	3	3	skill	92	3	3									cast2		25	25					move2		25	25					block		25	25					block2		25	25													0
necring	NECtao	rin	ring	1	50	56	dgrn	dgrn						5	5000	2	nec		2	2	vit		25	25	enr		25	25	res-all		20	20	move2		15	15																	res-fire		35	35					res-ltng		35	35					res-pois		35	35					res-cold		35	35													0
mishanmao	Mishan	7wc	Giant Thresher	7	50	78	blac		heishou					5	5000	2	allskills		2	4	aura	120	8	12	dmg%		200	200	dmg/lvl	25			red-dmg		25	25	res-all		20	20													lifesteal		15	15					dmg%		100	100																													0
mishanxiong	Mishan	ucl	Loricated Mail	7	50	73	blac	blac						5	5000	2	hit-skill	17	20	5	gethit-skill	68	5	35	ac%		200	250	str		50	50	red-mag		25	25	swing2		20	20	deadly		25	25									red-dmg%		20	20					att%		200	200																													0
mishantou	Mishan	uhm	Spired Helm	7	50	70	blac	blac	invghm					5	5000	2	ac		300	300	dmg		20	25					crush		25	25	ignore-ac		1	1					sock		2	2									red-dmg		20	20					red-mag		20	20																													0
mishanjian	Mishan	72h	Legend Sword	7	50	74	blac		heijian					5	5000	2	dmg%		200	200	dmg%/lvl	15			deadly/lvl	4			hit-skill	81	10	5	aura	98	15	15	crush		25	25	openwounds		15	15									lifesteal		10	10					dmg%		100	100																													0
jingzitou	Jingzi	uap	Shako	7	50	70	oran	oran						5	5000	2	ac%		150	150	dmg-mag		300	500	move2		25	25	red-dmg%		25	25	hit-skill	54	25	1																	res-all		20	20					swing2		20	20																													0
jingzigong	Jingzi	6l7	Crusader Bow	7	50	73	oran		fenghuanggong					5	5000	2	lifesteal		20	20	dmg		100	150	hit-skill	42	15	3	aura	98	15	15	dmg-fire		300	400	freeze		3	3	explosivearrow		30	30									swing2		30	30					dmg%		150	150																													0
jingzijia	Jingzi	utu	Wire Fleece	7	50	70	oran	oran						5	5000	2	att		350	500	dmg-ltng		250	500	oskill	9	10	10	pierce		33	33	deadly		20	20	res-all		10	10													red-dmg		20	20					red-mag		20	20																													0
langtou	Lang	ci2	Tiara	7	50	69	dblu	dblu						5	5000	2	ac		200	250	aura	118	15	15	hp/lvl	12			balance2		35	35	res-all		20	20																	cast2		20	20					cast2		30	30																													0
langdun	Lang	uit	Monarch	7	50	71	dgrn		fuwendun					5	5000	2	ac%		150	200	aura	118	15	15	swing2		20	20	res-all		15	15	ease		-30	-30	att%		100	100													red-mag		20	20					red-dmg		25	25																													0
langjia	Lang	ula	Scarab Husk	7	50	73	dblu	dblu						5	5000	2	ac%		200	200	cast2		35	35	red-dmg%		20	20	pierce-ltng		20	20	vit		-50	-50	aura	98	15	15	str		30	30	vit		-50	-50	vit		-50	-50	hp%		25	25					res-all		20	20																													0
