Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword146	Time	1	1	weap	glov	belt	boot	char	armo					r25	r23	r22				aura	115	5	5	swing2		30	30	cast2		30	30	block2		20	20	addxp		5	5	mag%/lvl	8							0
Runeword147	Tradition			weap	glov	belt	boot	char	armo																																							0
Runeword148	Treachery	1		weap	glov	belt	boot	char	armo				ShaelThulLem	r13	r10	r20				hit-skill	Venom	25	15	gethit-skill	Fade	5	15	ass		2	2	swing2		45	45													0
Runeword149	Trust			weap	glov	belt	boot	char	armo																																							0
Runeword150	Truth			weap	glov	belt	boot	char	armo																																							0
Runeword151	Unbending Will			weap	glov	belt	boot	char	armo																																							0
Runeword152	Valor	1	1	weap	glov	belt	boot	char	armo					r28	r19					death-skill	93	100	40	swing2		20	20	dmg/lvl	8			oskill	236	10	10	hp%		20	20	regen		-1	-1	res-mag		10	10	0
Runeword153	Vengeance			weap	glov	belt	boot	char	armo					r06	r11	r01																																0
Runeword155	Victory			weap	glov	belt	boot	char	armo																																							0
Runeword156	Voice			weap	glov	belt	boot	char	armo					r03	r06																																	0
Runeword157	Void	1	1	weap	glov	belt	boot	char	armo					r33	r29					cast2		20	20	block		20	20	oskill	54	1	1	ac%		220	220	regen-mana		80	80	res-all		30	30	red-dmg%		20	20	0
Runeword158	War	1	1	weap	glov	belt	boot	char	armo					r31	r29	r27				gethit-skill	54	5	1	hit-skill	273	5	2	att-skill	66	5	5	aura	113	20	20	dmg%		200	200	lifesteal		8	8	ac%		250	250	0
Runeword159	Water			weap	glov	belt	boot	char	armo																																							0
Runeword161	Whisper			weap	glov	belt	boot	char	armo																																							0
Runeword47	Widowmaker	1	1	weap	glov	belt	boot	char	armo				EthTirLoMalRal	r05	r03	r28	r23	r08		dmg-dem/lvl	15			dmg		340	400	swing3		30	40	hit-skill	Venom	35	15	pierce-pois		20	25	ignore-ac		1	1	heal-kill		10	15	0
Runeword163	Wind	1		weap	glov	belt	boot	char	armo					r29	r01					dmg%		120	160	swing2		40	40	move2		20	20	reduce-ac		50	50	hit-skill	245	10	9	charged	240	127	13	balance2		15	15	0
Runeword164	Wings of Hope	1	1	weap	glov	belt	boot	char	armo					r33	r28	r15				aura	118	30	30	dmg/lvl	8			att/lvl	32			crush		30	30	oskill	54	1	1	ac%		200	200	reanimate	241	30	30	0
Runeword99	Winter	1	1	weap	glov	belt	boot	char	armo				LemKoElEld	r20	r18	r01	r02			dmg-demon		220	350	dmg-undead		280	300	dmg-cold		100	220	pierce-cold		24	24	hit-skill	Ice Blast	18	20	hit-skill	Frozen Orb	15	13	nofreeze		1	1	0
Runeword165	Wisdom			weap	glov	belt	boot	char	armo																																							0
Runeword166	Woe			weap	glov	belt	boot	char	armo																																							0
Runeword167	Wonder			weap	glov	belt	boot	char	armo					r04	r12	r24																																0
Runeword168	Wrath	1	1	weap	glov	belt	boot	char	armo				PulLumBerMal	r21	r17	r30	r23			dmg-demon		300	300	dmg-undead		250	300	dmg-ltng		41	240	dmg-mag		85	120	hit-skill	Life Tap	5	10	hit-skill	decrepify	30	1	nofreeze		1	1	0
Runeword169	Youth			weap	glov	belt	boot	char	armo																																							0
